time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,school_type,FSM_eligible,Gender,NCyearActual,Absence_band,TotalPupils
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,1,pct30_OARate,1
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,1,pct35_OARate,0
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,1,pct5_OARate,14
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,1,pct50plus_OARate,16
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,10,pct25_OARate,140
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,11,pct25_OARate,188
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,3,pct35_OARate,2
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,3,pct40_OARate,1
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,4,pct45_OARate,1
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,5,pct40_OARate,0
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,6,pct15_OARate,10
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,6,pct25_OARate,4
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,6,pct40_OARate,3
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,6,pct5_OARate,21
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,6,pct50plus_OARate,24
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,7,pct20_OARate,20
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,7,pct35_OARate,10
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,7,pct50plus_OARate,54
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,F,9,pct30_OARate,86
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,10,pct35_OARate,215
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,10,pct5_OARate,397
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,11,pct15_OARate,404
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,11,pct35_OARate,255
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,11,pct45_OARate,246
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,11,pct50plus_OARate,1591
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,2,pct5_OARate,123
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,3,pct20_OARate,17
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,3,pct30_OARate,7
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,3,pct35_OARate,9
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,5,pct15_OARate,50
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,5,pct20_OARate,40
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,5,pct50plus_OARate,61
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,6,pct20_OARate,31
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,6,pct5_OARate,139
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,7,pct15_OARate,70
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,8,pct30_OARate,110
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM Not eligible,M,9,pct25_OARate,202
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,1,pct45_OARate,0
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,10,pct20_OARate,60
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,10,pct35_OARate,60
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,10,pct5_OARate,49
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,10,pct50plus_OARate,300
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,11,pct15_OARate,96
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,11,pct30_OARate,84
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,11,pct45_OARate,61
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,2,pct30_OARate,1
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,2,pct35_OARate,0
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,3,pct15_OARate,3
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,3,pct5_OARate,14
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,4,pct50plus_OARate,3
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,5,pct10_OARate,9
Academic year,201718,National,E92000001,England,NA,NULL,NA,NULL,Other,FSM eligible,F,5,pct20_OARate,4
